Date, Open, High, Low, Close
3/12/2026,6740.88,6740.88,6670.4,6672.62
3/11/2026,6790.09,6811.15,6745.59,6775.8
3/10/2026,6796.56,6845.08,6759.74,6781.48
3/9/2026,6699.8,6810.44,6636.04,6795.99
3/6/2026,6769.03,6773.42,6711.56,6740.02
3/5/2026,6851.08,6870.43,6770.78,6830.71
3/4/2026,6831.69,6885.94,6811.64,6869.5
3/3/2026,6800.26,6840.05,6710.42,6816.63
3/2/2026,6824.36,6901.01,6796.85,6881.62
2/27/2026,6856.54,6882.96,6831.74,6878.88
2/26/2026,6944.74,6947.25,6859.73,6908.86
2/25/2026,6915.15,6952.51,6915.15,6946.13
2/24/2026,6837.37,6899.17,6815.43,6890.07
2/23/2026,6901.25,6916.96,6819.82,6837.75
2/20/2026,6843.26,6915.86,6836.33,6909.51
2/19/2026,6861.34,6879.12,6833.06,6861.89
2/18/2026,6855.48,6909.12,6849.66,6881.31
2/17/2026,6819.86,6866.99,6775.5,6843.22
2/13/2026,6834.27,6881.96,6794.55,6836.17
2/12/2026,6957.54,6973.22,6824.04,6832.76
2/11/2026,6976.48,6993.48,6911.97,6941.47
2/10/2026,6974.49,6986.83,6937.53,6941.81
2/9/2026,6917.26,6980.1,6905.87,6964.82
2/6/2026,6816.74,6944.89,6816.74,6932.3
2/5/2026,6837.39,6857.85,6780.13,6798.4
2/4/2026,6924.5,6936.09,6838.8,6882.72
2/3/2026,6985.45,6993.08,6862.05,6917.81
2/2/2026,6916.64,6991.92,6914.34,6976.44
1/30/2026,6947.27,6964.09,6893.48,6939.03
1/29/2026,6977.74,6992.84,6870.8,6969.01
1/28/2026,7002,7002.28,6963.46,6978.03
1/27/2026,6965.96,6988.82,6958.83,6978.6
1/26/2026,6923.23,6964.66,6921.6,6950.23
1/23/2026,6907.85,6932.96,6895.5,6915.61
1/22/2026,6914.44,6934.75,6893.62,6913.35
1/21/2026,6810.71,6910.39,6804.96,6875.62
1/20/2026,6865.24,6871.17,6789.05,6796.86
1/16/2026,6960.54,6967.3,6925.09,6940.01
1/15/2026,6969.46,6979.34,6937.93,6944.47
1/14/2026,6937.41,6941.3,6885.74,6926.6
1/13/2026,6977.41,6985.83,6938.77,6963.74
1/12/2026,6944.12,6986.33,6934.07,6977.27
1/9/2026,6927.83,6978.36,6917.64,6966.28
1/8/2026,6914.11,6931.28,6899.33,6921.46
1/7/2026,6945.07,6965.69,6919.19,6920.93
1/6/2026,6908.03,6948.69,6904.02,6944.82
1/5/2026,6892.19,6920.38,6891.56,6902.05
1/2/2026,6878.11,6894.87,6824.31,6858.47
